0,1,2,3,4,5,6,7
bb8,BB-8_38.xml,1024,768,711,123,877,81
bb8,BB-8_39.xml,525,700,410,258,516,313
bb8,BB-8_40.xml,259,194,167,17,239,34
bb8,BB-8_41.xml,953,736,704,2,952,158
bb8,BB-8_42.xml,818,582,509,81,757,145
bb8,BB-8_43.xml,570,570,473,198,533,160
bb8,BB-8_44.xml,955,635,384,146,849,535
bb8,BB-8_45.xml,451,750,398,279,451,375
bb8,BB-8_46.xml,642,1142,425,166,607,272
bb8,BB-8_47.xml,360,480,354,123,317,52
bb8,BB-8_48.xml,360,480,192,122,314,258
bb8,BB-8_49.xml,360,480,337,156,308,90
bb8,BB-8_50.xml,360,480,393,225,313,147
bb8,BB-8_51.xml,360,480,352,148,326,56
bb8,BB-8_52.xml,533,800,660,79,533,35
bb8,BB-8_53.xml,194,259,99,18,175,66
bb8,BB-8_54.xml,300,640,414,34,300,24
bb8,BB-8_55.xml,447,602,433,193,311,1
bb8,BB-8_56.xml,720,1280,651,379,556,225
bb8,BB-8_57.xml,720,1280,1119,171,713,14
bb8,BB-8_58.xml,1080,1920,1735,315,1080,10
bb8,BB-8_59.xml,380,570,402,168,380,74
bb8,BB-8_60.xml,625,1110,604,324,588,212
bb8,BB-8_61.xml,330,660,447,215,330,37
bb8,BB-8_62.xml,653,750,570,173,606,69
bb8,BB-8_63.xml,433,650,309,131,378,151
bb8,BB-8_64.xml,800,554,213,44,680,467
bb8,BB-8_65.xml,800,554,516,324,663,414
bb8,BB-8_66.xml,478,680,539,301,478,211
bb8,BB-8_67.xml,427,750,471,1,427,65
bb8,BB-8_68.xml,678,1024,443,119,626,197
bb8,BB-8_69.xml,683,1024,1024,472,680,157
bb8,BB-8_70.xml,223,540,169,38,223,149
bb8,BB-8_71.xml,223,540,238,141,223,129
bb8,BB-8_72.xml,223,540,270,201,218,129
bb8,BB-8_73.xml,223,540,288,241,194,132
bb8,BB-8_74.xml,667,1000,743,354,667,145
bb8,BB-8_75.xml,245,520,320,165,234,28
r2d2,R2-D2_1.xml,298,530,493,230,294,1
r2d2,R2-D2_2.xml,540,720,399,117,483,75
r2d2,R2-D2_3.xml,534,950,498,239,534,199
r2d2,R2-D2_4.xml,534,950,917,545,512,22
r2d2,R2-D2_5.xml,600,990,916,307,600,11
r2d2,R2-D2_6.xml,437,634,289,60,436,111
r2d2,R2-D2_7.xml,977,634,419,30,943,401
r2d2,R2-D2_8.xml,619,962,765,590,598,337
r2d2,R2-D2_9.xml,300,600,600,273,299,1
r2d2,R2-D2_10.xml,395,614,523,419,337,166
r2d2,R2-D2_11.xml,537,720,719,631,397,166
r2d2,R2-D2_12.xml,300,600,495,265,300,22
r2d2,R2-D2_13.xml,464,610,343,111,403,65
r2d2,R2-D2_14.xml,800,582,347,143,714,383
r2d2,R2-D2_15.xml,350,600,423,225,310,33
r2d2,R2-D2_16.xml,563,750,290,121,563,339
r2d2,R2-D2_17.xml,410,640,342,57,410,21
r2d2,R2-D2_18.xml,558,838,727,120,558,17
r2d2,R2-D2_19.xml,1137,721,403,26,968,413
r2d2,R2-D2_20.xml,500,800,509,320,467,190
r2d2,R2-D2_21.xml,590,990,468,191,539,135
r2d2,R2-D2_22.xml,711,1059,831,596,639,276
r2d2,R2-D2_23.xml,375,900,803,552,375,247
r2d2,R2-D2_24.xml,640,427,236,49,602,279
r2d2,R2-D2_25.xml,281,179,175,1,278,4
r2d2,R2-D2_26.xml,446,640,562,421,422,192
r2d2,R2-D2_27.xml,480,853,157,45,392,172
r2d2,R2-D2_28.xml,600,900,666,404,579,201
r2d2,R2-D2_29.xml,402,715,626,78,402,2
r2d2,R2-D2_30.xml,270,480,346,57,270,32
r2d2,R2-D2_31.xml,360,480,264,114,342,253
r2d2,R2-D2_32.xml,360,480,379,102,306,59
r2d2,R2-D2_33.xml,360,480,215,41,314,43
r2d2,R2-D2_34.xml,360,480,366,139,311,79
r2d2,R2-D2_35.xml,360,480,243,7,358,108
r2d2,R2-D2_36.xml,360,480,359,125,351,8
r2d2,R2-D2_37.xml,349,620,405,215,339,9
r2d2,R2-D2_38.xml,284,178,171,6,278,7
r2d2,R2-D2_39.xml,600,600,480,114,581,24
r2d2,R2-D2_40.xml,373,604,313,16,373,62
r2d2,R2-D2_41.xml,490,980,714,476,490,247
r2d2,R2-D2_42.xml,640,512,413,108,624,136
r2d2,R2-D2_43.xml,720,1280,911,658,625,446
r2d2,R2-D2_44.xml,720,1280,928,742,624,448
r2d2,R2-D2_45.xml,1080,1920,1191,261,1080,150
r2d2,R2-D2_46.xml,800,800,512,277,715,111
r2d2,R2-D2_47.xml,422,640,626,314,422,100
r2d2,R2-D2_48.xml,505,392,336,32,502,30
r2d2,R2-D2_49.xml,624,960,501,223,624,219
r2d2,R2-D2_50.xml,675,1200,649,250,571,64
r2d2,R2-D2_51.xml,350,350,350,1,349,1
r2d2,R2-D2_52.xml,960,720,646,121,957,27
r2d2,R2-D2_53.xml,268,408,369,205,268,85
r2d2,R2-D2_54.xml,534,800,705,377,502,59
r2d2,R2-D2_55.xml,376,610,342,98,368,22
r2d2,R2-D2_56.xml,300,600,581,435,276,27
r2d2,R2-D2_57.xml,867,600,490,73,605,45
r2d2,R2-D2_58.xml,500,800,655,267,499,43
r2d2,R2-D2_59.xml,731,1300,947,469,694,157
r2d2,R2-D2_60.xml,470,700,390,329,267,154
r2d2,R2-D2_61.xml,288,460,195,65,279,112
r2d2,R2-D2_62.xml,432,768,707,340,429,55
r2d2,R2-D2_63.xml,290,455,349,176,290,4
r2d2,R2-D2_64.xml,480,853,525,96,419,86
r2d2,R2-D2_65.xml,882,1920,998,553,795,330
r2d2,R2-D2_66.xml,346,512,512,294,345,21
r2d2,R2-D2_67.xml,450,284,274,14,442,9
r2d2,R2-D2_68.xml,380,380,288,62,359,28
r2d2,R2-D2_69.xml,481,609,458,250,339,58
r2d2,R2-D2_70.xml,376,834,417,177,333,84
r2d2,R2-D2_71.xml,396,704,447,171,380,29
r2d2,R2-D2_72.xml,400,655,499,192,400,14
r2d2,R2-D2_73.xml,405,720,329,34,405,22
r2d2,R2-D2_74.xml,303,450,320,147,303,141
r2d2,R2-D2_75.xml,348,620,355,138,348,79
